times,DirectSolver-cplex,DirectSolver-mosek,DirectSolver-scip,BourguignonSolver,HazimehSolver,BnbSolver,BnbSolver-accel
0.1,0,0.0,0,0,0,0,0
0.12589254117941673,0,0.0,0,0,0,0,0
0.15848931924611134,0,0.0,0,0,0,0,0
0.19952623149688797,0,0.0,0,0,0,0,0
0.251188643150958,0,0.0,0,0,0,0,0
0.31622776601683794,0,0.0,0,0,0,0,0
0.3981071705534973,0,0.0,0,0,0,0,0
0.5011872336272724,0,0.0,0,0,0,0,1
0.6309573444801934,0,0.0,0,0,0,0,4
0.7943282347242815,0,0.0,0,0,0,0,8
1.0,0,0.0,0,0,3,0,18
1.2589254117941675,0,0.0,0,0,6,0,28
1.584893192461114,0,0.0,0,1,8,0,46
1.9952623149688797,0,0.0,0,2,15,2,60
2.511886431509581,0,0.0,0,10,21,15,72
3.1622776601683795,0,0.0,0,42,28,31,77
3.981071705534973,0,0.0,0,62,34,58,83
5.011872336272725,0,0.0,0,70,47,71,89
6.309573444801933,0,0.0,0,74,53,77,93
7.943282347242818,0,0.0,0,80,60,84,95
10.0,0,0.0,0,90,65,89,96
12.589254117941675,0,0.0,0,95,70,93,98
15.848931924611142,0,0.0,0,96,76,95,99
19.952623149688808,0,0.0,0,97,80,96,99
25.11886431509582,0,0.0,0,98,86,98,99
31.622776601683793,0,1,0,99,88,99,99
39.810717055349734,0,9,0,99,92,99,99
50.11872336272725,0,12,0,99,93,99,99
63.095734448019364,0,17,0,99,93,99,99
79.43282347242821,0,30,0,99,98,99,99
100.0,0,37,0,99,98,99,99
125.89254117941675,0,42,0,99,99,99,99
158.48931924611142,0,49,0,99,99,99,99
199.52623149688807,0,55,0,99,99,99,99
251.18864315095823,0,60,0,99,99,99,99
316.22776601683796,0,69,0,99,99,99,99
398.1071705534973,0,72,0,99,99,99,99
501.18723362727246,0,77,0,99,99,99,99
630.9573444801937,1,81,0,99,99,99,99
794.3282347242822,12,85,0,99,99,99,99
1000.0,36,92,0,99,99,99,99
1258.9254117941687,55,97,0,99,99,99,99
1584.893192461114,60,99,2,99,99,99,99
1995.2623149688789,67,99,4,99,99,99,99
2511.886431509582,74,99,9,99,99,99,99
3162.2776601683795,81,99,15,99,99,99,99
